proposed_id,mt_id,firm,email,tier,verification_status,status,notes
L-0413,MT-01,Midland Fire Ltd,sales@midland-fire.co.uk,PERFECT,verified,Not contacted,migrated from MT-01 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0414,MT-02,Cropper Grounds Maintenance,info@grounds-maintenance.com,PERFECT,verified,Not contacted,migrated from MT-02 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0415,MT-03,Exjet,info@exjet.co.uk,PERFECT,verified,Not contacted,migrated from MT-03 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0416,MT-04,H2O Hygiene Ltd,info@h2ohygiene.co.uk,PERFECT,verified,Not contacted,migrated from MT-04 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0417,MT-05,Call2Drain,info@call2drain.co.uk,GOOD,verified,Not contacted,migrated from MT-05 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0418,MT-06,Browns Landscape Solutions Ltd,info@brownslandscapes.com,GOOD,verified,Not contacted,migrated from MT-06 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0419,MT-07,Hallifax Care,info@hallifaxcare.co.uk,PERFECT,verified,Not contacted,migrated from MT-07 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0420,MT-08,Devon & Cornwall Care Services (DACCS),info@daccservices.com,PERFECT,verified,Not contacted,migrated from MT-08 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0421,MT-09,Home Care Wales,info@homecarewales.com,PERFECT,verified,Not contacted,migrated from MT-09 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0422,MT-10,Celtic Care Services,samwhite@celticcare.co.uk,GOOD,verified,Not contacted,migrated from MT-10 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
L-0423,MT-11,Home Care Service Provider,admin@homecareserviceprovider.co.uk,GOOD,verified,Not contacted,migrated from MT-11 (outreach-micro-targets.md); PROPOSED id — confirm range before merge
