id,firm,email,email_type,verification_status,conversion_estimate,score,outreach_mode,harsh_free_pilot_acceptance_pct,harsh_paid_conversation_pct,subject,personalization_hook,source
L-0166,P & W Water Hygiene Ltd,louiswyborn@pwwaterhygieneltd.co.uk,person,verified,High,172,free_pilot,2.00%,0.00%,Free check on one water hygiene tender?,"hospitals, schools, councils, housing associations and commercial buildings water hygiene services",https://www.legionellacontrol.org.uk/company/?name=P+%26+W+Water+Hygiene+Ltd; https://uk.linkedin.com/in/louis-wyborn-71614982
L-0179,Dantek Environmental Services (UK) Ltd,holly@dantek.co.uk,person,verified,High,172,free_pilot,2.00%,0.00%,Could I map one water hygiene tender?,healthcare risk assessment and education estates water hygiene work including schools and universities,https://www.legionellacontrol.org.uk/company/?name=Dantek+Environmental+Services+%28UK%29+Ltd; https://www.dantekenvironmental.co.uk/
L-0244,CA Fire Protection Ltd,lewis.murphy@cafireprotection.co.uk,named,verified,High,172,free_pilot,2.00%,0.00%,"Free check on one passive fire protection, fire doors, surveys and fire stopping tender?","fire-door page names housing associations, schools, healthcare providers and public-sector organisations",https://cafireprotection.co.uk/; https://cafireprotection.co.uk/accreditations/; https://cafireprotection.co.uk/services/firedoors/; https://uk.linkedin.com/company/ca-fire-protection-ltd
L-0252,Maguire Brothers,milos@maguirebrothers.co.uk,named,verified,High,172,free_pilot,2.00%,0.00%,"Run one commercial roofing, flat roofing, roof replacement and cladding tender through Bidframe?","NHS, councils, universities, MoD, education and LHC public-sector framework proof",https://www.maguirebrothers.co.uk/; https://www.maguirebrothers.co.uk/accreditations/; https://www.maguirebrothers.co.uk/milos-maguire/
L-0269,Premier Roofing Systems Ltd,ryan@premierroofingsystems.com,named,verified,High,172,free_pilot,2.00%,0.00%,Could I map one commercial roofing and waterproofing tender?,"CPC/LHC framework language for local authorities, social landlords and public bodies",https://www.premierroofingsystems.com/team; https://www.premierroofingsystems.com/frameworks-partnerships
L-0270,Mariner Projects Ltd,tom@marinerprojects.co.uk,named,verified,High,172,free_pilot,2.00%,0.00%,Run one pitched and flat commercial roofing tender through Bidframe?,"NHS, local authorities and schools; education/commercial project focus",https://www.marinerprojects.co.uk/about; https://www.nfrc.co.uk/member/mariner-projects-ltd.html
L-0286,Bid Public Sector,conor@bidpublicsector.co.uk,named,verified,High,172,free_pilot,2.00%,0.00%,Free check on one bid writing tender?,Supports compliant tender submissions; public-sector procurement and bid strategy,https://www.bidpublicsector.com/
L-0310,Tute Education,vanessa.leach@tute.com,named,verified,High,172,free_pilot,2.00%,0.00%,Free check on one online alternative provision tender?,"Trusted by local authorities, schools and non-mainstream settings",https://www.tute.com/contact-us/; https://www.tute.com/
L-0335,Lloyd & Gravell,kevin@lloydandgravell.co.uk,named,verified,High,172,free_pilot,2.00%,0.00%,Could I map one construction and refurbishment tender?,Successful inclusion on framework contracts; Carmarthenshire partner authority listing,lloydandgravell.co.uk; carmarthenshire.gov.wales/council-services/building-control/partner-authority-scheme/partnerships/lloyd-gravell-ltd
L-0391,Future Pathways CIC,lauren@futurepathwayscic.com,named,verified,High,172,free_pilot,2.00%,0.00%,Free check on one vocational AP and SEND tender?,"Doncaster LA AP Framework, Lot 1",https://www.futurepathwayscic.com/contact
L-0340,Sendrig Construction,admin@sendrig.co.uk,team,verified,High,166,free_pilot,2.00%,0.00%,Free check on one minor works tender?,Awarded NEUPC minor works framework for schemes up to GBP1m,sendrig.co.uk/news/sendrig-construction-retains-its-place-on-neupc-framework; sendrig.co.uk
L-0353,Aspire Procurement Training,qualify@cips-training.com,team,verified,High,166,free_pilot,2.00%,0.00%,Could I map one procurement apprenticeships tender?,CCS RM6102 Apprenticeship Training Dynamic Marketplace signal,cips-training.com; study.cips.org/countries/united-kingdom/cheshire/aspire-procurement-training-warrington; gca.gov.uk/agreements/RM6102
L-0377,Conamar Building Services,enquiries@conamar.co.uk,team,verified,High,166,free_pilot,2.00%,0.00%,Could I map one public-sector construction and refurbishment tender?,"Fusion21 framework, CCS/GCA building works listing and Scape regional framework marked SME",gca.gov.uk/agreements/RM6088%3A1.1.2/lot-suppliers; fusion21.co.uk/frameworks-refurbishment-construction-new-build-and-modular-buildings
L-0390,Falcons Learning,admin@falconslearning.com,team,verified,High,166,free_pilot,2.00%,0.00%,Run one SEMH special school and AP tender through Bidframe?,"Doncaster LA AP Framework, Lots 1, 2 and 7",falconslearning.com; doncaster.gov.uk/services/schools/local-offer-ap-and-pru
L-0231,NWCE Foodservice Equipment,nicola.kirkby@nwce.co.uk,person,verified,High,162,free_pilot,2.00%,0.00%,"Run one catering equipment service, refrigeration, extraction and Gas Safe engineers tender through Bidframe?","public-sector page for education, healthcare and local authority/public-sector work; planned maintenance, refrigeration, ventilation/extraction and Gas Safe engineers",https://nwce.co.uk/sector/public-sector/; https://www.schoolfoodpeople.co.uk/buyersguide/buyers-guide-by-category/equipment/nwce/; https://uk.linkedin.com/company/nwce-foodservice-equipment
L-0313,EDClass,cara@edclass.com,named,verified,High,162,free_pilot,2.00%,0.00%,Free check on one DfE-accredited online AP tender?,LA Section 19 / vulnerable learner AP platform,https://www.edclass.com/contact-edclass/; https://www.edclass.com/for-local-authorities/; https://www.edclass.com/
L-0150,GPC Services Ltd,info@gpcservicesltd.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Run one grounds tender through Bidframe?,"hospitals, schools, business parks and local authority grounds sites",https://gpcservicesltd.co.uk/about/; https://gpcservicesltd.co.uk/contact/
L-0152,Branching Out Tree & Garden Services Ltd,kerrie@branchingoutservices.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Could I map one arboriculture tender?,"schools, universities, local authority buildings and open spaces",https://branchingoutservices.co.uk/groundsmaintenance/; https://branchingoutservices.co.uk/contact/
L-0158,VITA Occupational Health Ltd,operations@vitaoh.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Could I map one occupational health tender?,"education, NHS, civil/public service, local councils, Home Office and Kent Fire and Rescue experience",https://ayleshambusinessnetwork.co.uk/member-directory/vita-occupational-health-ltd/
L-0160,Workwear (East Anglia) Ltd,sales@workwearltd.com,domain,verified,High,160,free_pilot,2.00%,0.00%,Free check on one workwear tender?,"county council, NHS and emergency-services PPE/workwear supply relevance",https://workwearltd.com/pages/contact; https://uk.linkedin.com/company/workwear-east-anglia
L-0200,Riley's Grounds Maintenance Ltd,info@rileysgm.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Could I map one winter gritting tender?,"winter gritting clients include NHS, schools, parish/council-type estates and named academy trusts/council clients",https://www.rileysgm.co.uk/winter-maintenance
L-0220,Happy Energy Solutions Ltd,info@happyenergy.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Free check on one PAS2035 retrofit coordination tender?,"works with local authorities, housing associations and public-sector bodies; TrustMark, MCS and PAS2035 delivery",https://www.happyenergysolutions.co.uk/contact-5; https://www.happyenergysolutions.co.uk/what-we-do; https://uk.linkedin.com/company/happy-energy
L-0222,Finn Geotherm UK Ltd,enquiries@finn-geotherm.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Run one ground tender through Bidframe?,"social-housing heat-pump schemes, South Norfolk and Broadland District Council HQ case, MCS/TrustMark/Constructionline signals",https://finn-geotherm.co.uk/; https://finn-geotherm.co.uk/social-housing/; https://finn-geotherm.co.uk/blog/mcs-certified/
L-0224,Oxford Carpentry & Fire Door Solutions,office@oxfordfiredoorsolutions.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Could I map one fire door surveys, installation, maintenance and repairs tender?","BM Trada Q-Mark; schools, hospitals, care homes, councils and housing associations; digital evidence/reporting angle",https://www.oxfordcarpentry.co.uk/contact; https://www.oxfordcarpentry.co.uk/fire-door-solutions; https://www.oxfordcarpentry.co.uk/about
L-0232,Denby Catering Equipment,info@denbycatering.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Free check on one school kitchen design, install and commercial catering equipment tender?",School Food People profile for schools/colleges; CEDA member; YPO framework and Derbyshire procurement evidence,https://www.tuco.ac.uk/procurement/our-suppliers/denby-catering-equipment-limited-design-and-installation
L-0251,Phoenix Roofclad Ltd,enquiries@phoenixroofclad.com,domain,verified,High,160,free_pilot,2.00%,0.00%,Could I map one industrial and commercial roofing and cladding tender?,"school business manager and head of estates testimonials; primary school reroofing; NFRC, Constructionline, SafeContractor and SMAS signals",https://www.phoenixroofclad.com; https://www.nfrc.co.uk/member/phoenix-roofclad-ltd.html; https://uk.linkedin.com/company/phoenix-roofclad-limited
L-0256,Airtech Air Conditioning Services Ltd,ac@airtech.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Free check on one HVAC, air conditioning, ventilation, service and maintenance tender?","schools, NHS hospitals, police, MoD, Parliament, council offices and Refcom F-Gas shown",https://www.airtech.co.uk/air-conditioning-in-surrey/; https://uk.linkedin.com/company/airtech-air-conditioning-services-limited
L-0271,Lane Roofing Contractors Ltd,info@laneroofing.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Free check on one roofing, cladding and waterproofing tender?","public-sector partnerships with schools, academies, colleges, NHS and local councils",https://laneroofing.co.uk/; https://laneroofing.co.uk/services/specialist-building-services-uk/; https://www.nfrc.co.uk/member/lane-roofing-contractors-ltd.html
L-0272,The Complete Roofing Company Ltd,info@thecompleteroofingcompany.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Could I map one flat roofing, waterproofing and roof consultancy tender?",schools and academies page; public-sector consultancy; Sell2Wales roofing framework SME,https://www.thecompleteroofingcompany.co.uk/solutions-for-education/; https://www.thecompleteroofingcompany.co.uk/technical-services/; https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=MAY364117
L-0274,Russell Trew Ltd,info@russelltrew.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Free check on one flat roofing, pitched roofing and building refurbishment tender?","schools, higher education, hospitals and LHC roofing framework presence",https://russelltrew.co.uk/contact; https://russelltrew.co.uk/service/flat-roofing; https://www.nfrc.co.uk/member/russell-trew-ltd.html
L-0275,J Randall Roofing Contractors Ltd,info@jrandallrc.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Could I map one commercial roofing and flat roofing tender?,public/private clients; LHC/Sell2Wales roofing frameworks; SME contractor,https://jrandallrc.co.uk/about/; https://www.construction.co.uk/c/579723/j-randall-roofing-contractors-ltd; https://www.theconstructionindex.co.uk/tenders/view/31927
L-0280,Ventilation Surveys & Services Ltd,info@vssltd.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,"Free check on one HVAC, ductwork cleaning, fire damper testing, TR19 and HTM 03-01 tender?","hospitals, educational buildings, healthcare-sector HTM 03-01 work and public-sector estates",https://www.vssltd.co.uk/; https://uk.linkedin.com/company/vss-ltd; https://uk.linkedin.com/company/ventilation-surveys-and-services
L-0282,CleanAir UK,info@cleanairuk.com,domain,verified,High,160,free_pilot,2.00%,0.00%,"Run one ventilation hygiene, NHS ductwork, fire damper testing and passive fire tender through Bidframe?","NHS healthcare ventilation cleaning HTM 03-01, university/college IAQ and school testimonial",https://cleanairuk.co.uk/; https://cleanairuk.co.uk/nhs-healthcare-ventilation-cleaning-htm-0301/; https://cleanairuk.co.uk/fire-damper-testing/
L-0285,The Business of Bidding,info@thebusinessofbidding.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Run one bid writing tender through Bidframe?,"Bid writing, bid management, framework bids, public-sector procurement experience",https://www.thebusinessofbidding.co.uk/; https://www.thebusinessofbidding.co.uk/contact-us/
L-0317,ESP Play,info@espplay.co.uk,domain,verified,High,160,free_pilot,2.00%,0.00%,Could I map one playground tender?,"Schools, SEND schools, councils/local authorities, parish councils",https://espplay.co.uk/schools-contact-us/; https://espplay.co.uk/schools/; https://espplay.co.uk/esp-local-authority-sector/
L-0322,East Sussex Lifts Ltd,info@eastsussexlifts.co.uk,generic,verified,High,158,free_pilot,1.60%,0.00%,Free check on one lift maintenance tender?,"Councils, schools, museums and local authority buildings",eastsussexlifts.co.uk/contact.html; construction.co.uk/c/542656/east-sussex-lifts
L-0334,Procast Group,contact@pro-cast.co.uk,generic,verified,High,158,free_pilot,1.60%,0.00%,Free check on one retrofit and decarbonisation tender?,Allocated 17 lots on Scottish Procurement Alliance retrofit and decarbonisation framework,pro-cast.co.uk; pro-cast.co.uk/news/articles/procast-group-earns-spot-on-120m-scotland-wide-decarbonisation-framework; inca-ltd.org.uk/member/procast-building-contractors
L-0336,Quirks Property Maintenance,info@quirksonline.co.uk,generic,verified,High,158,free_pilot,1.60%,0.00%,Run one property maintenance tender through Bidframe?,Dedicated schools/councils public-sector maintenance page,quirkspropertymaintenance.co.uk/public-sector-property-maintenance; quirkspropertymaintenance.co.uk
L-0337,Maurice Flynn & Sons,business@mauriceflynn.com,team,verified,High,158,free_pilot,1.60%,0.00%,Free check on one construction and facilities management tender?,"Public and private sector building/maintenance supplier; health, education and emergency services signals",mauriceflynn.com/contact; linkedin.com/company/maurice-flynn-%26-sons-ltd
L-0343,Westmade Ltd,enquiries@westmade.co.uk,generic,verified,High,158,free_pilot,1.60%,0.00%,Free check on one construction and maintenance tender?,"Hospital, community-hospital and school-style public-estate project evidence",westmade.co.uk; westmade.co.uk/projects; linkedin.com/company/westmade-ltd
L-0346,Joskos Solutions,solutions@joskos.com,team,verified,High,158,free_pilot,1.60%,0.00%,Free check on one school ICT MSP tender?,Everything ICT framework and public-sector G-Cloud supplier listing,joskos.com/contact; joskos.com/blog/joskos-has-joined-the-everything-ict-framework; applytosupply.digitalmarketplace.service.gov.uk/g-cloud/supplier/706222
L-0347,Concero Education Technology,help@concero.education,team,verified,High,158,free_pilot,1.60%,0.00%,Could I map one school ICT tender?,DfE-recognised work and CCS/TePAS2 framework route via public partner profile,concero.education; concero.education/procurement; pixl.org.uk/partners/concero-education-technology
L-0357,PIP Lift Service,sales@piplifts.co.uk,team,verified,High,158,free_pilot,1.60%,0.00%,Run one lift maintenance and modernisation tender through Bidframe?,Dedicated public-building sector page for public environments,piplifts.co.uk/references/sector-experience/public; piplifts.co.uk/contact
L-0371,Arcas Building Solutions,enquiries@arcasbuilding.co.uk,generic,verified,High,158,free_pilot,1.60%,0.00%,Could I map one minor works and education estates tender?,NEUPC Minor Works Framework for North East universities,arcasbuildingsolutions.co.uk/contact-us; arcasbuildingsolutions.co.uk/arcas-building-solutions-joins-the-neupc-minor-works-framework
L-0379,Modulek Ltd,sales@modulek.co.uk,team,verified,High,158,free_pilot,1.60%,0.00%,Free check on one modular buildings tender?,Pagabo DPS appointment and NHS SBS Modular Buildings 3 supplier,modulek.co.uk/contact-us; modulek.co.uk/news/modulek-pagabo-dynamic-purchasing-system; sbs.nhs.uk/services/framework-agreements/modular-buildings-3
