sweep_date,id,firm,conversion_estimate,email,email_type,contact_person,verification_status,source_url_count,fetched_ok_count,fetch_blocked_or_error_count,email_found_in_fetched_source,firm_or_domain_confirmed,flags,fetch_errors
2026-07-01,L-0101,Bid & Tender Support,High,info@bidandtendersupport.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0102,TenderHelp,Medium,help@tenderhelp.co.uk,domain,not_found,verified,1,1,0,no,yes,email_not_found_in_fetched_sources,
2026-07-01,L-0103,AM Bid,Medium,info@ambid.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0104,UK Bid Writer,High,lyndsey@ukbidwriter.com,domain,Lyndsey Wray,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0105,Clean4Shaw,Medium,sales@clean4shaw.com,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0106,ProKleen UK,Medium,info@prokleenuk.com,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0107,Ever Brite Cleaning,Medium,enquiry@everbritecleaning.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0108,Paul Tootill Landscaping,Medium,enquiries@paultootilllandscaping.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0109,N J Pacey Landscaping,Medium,enquiry@njpaceylandscaping.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0110,Alben Landscapes,Medium,info@albenlandscapes.co.uk,domain,not_found,verified,1,1,0,no,yes,email_not_found_in_fetched_sources,
2026-07-01,L-0111,Yes Chef Catering,Medium,yeschefcatering@tiscali.co.uk,other,Kevin Burn,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0112,Independent Catering,Medium,info@independentcatering.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0113,Independent Fire Risk Assessments,Medium,info@independent-fras.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0114,MD Fire,Medium,info@mdfire.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0115,DRE Pest Control,Medium,info@drepestcontrol.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0116,ROCMEP,Medium,hello@rocmep.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0117,Cooper Weston,Medium,cooper@cooperweston.co.uk,domain,not_found,partial,1,1,0,no,yes,email_not_found_in_fetched_sources,
2026-07-01,L-0118,AWO Recycling,Medium,enquiries@aworecycling.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0119,Kittle Group,Medium,hello@kittle-group.com,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0120,Learning Hive,Medium,info@learninghive.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0121,Just Learn,Medium,info@justlearn.org.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0122,Fair Futures CIC,Medium,fairfutures@outlook.com,other,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0123,Golden Circle Tutors,Medium,contactus@goldencircletutors.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0124,SEND Tutoring,Medium,info@sendtutoring.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0125,SENsational Tutors,Medium,enquiries@sensationaltutors.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0126,Bright Heart Education,Medium,hello@brightheart.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0127,London Speech Therapy,Medium,enquiries@londonspeechtherapy.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0128,West Midlands Speech & Language Therapy,Medium,office@wmspeechtherapy.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0129,Communican SALT,Medium,hellocommunican@gmail.com,gmail,Rachel McCartney,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0130,Home School Tutoring (NE Hants & Surrey),Medium,surreyinfo@homeschooltutoring.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0131,Player Ready,Medium,alternativeprovision@player-ready.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0132,Aspire Educational Psychology Services,Medium,contactus@aspire-ep.co.uk,domain,Dr Amanda Furness,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0133,Educational Potential,Medium,enquiries@educationalpotential.co.uk,domain,not_found,verified,1,1,0,no,yes,email_not_found_in_fetched_sources,
2026-07-01,L-0134,My World Therapy,Medium,info@myworldtherapy.co.uk,domain,Anna Hamlet,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0135,Kids' Therapy Works,Medium,info@kidstherapy.works,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0136,My Children's Therapy,Medium,contact@mychildrenstherapy.co.uk,domain,Rachael Horner,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0137,Chatter Independent SLT,Medium,chatterslt@gmail.com,gmail,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0138,SLT for Kids,Medium,office@sltforkids.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0139,The Children's Physio,Medium,info@thechildrensphysio.com,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0140,Therapy4Kids,Medium,info@therapy4kids.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0141,Physiotherapy for Children Ltd,Medium,info@physioforchildren.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0142,Reflective Source,Medium,sales@reflectivesource.com,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0143,Translate UK,Medium,info@translateuk.net,domain,not_found,verified,1,0,1,no,yes,all_sources_unfetched,translateuk.net:URLError
2026-07-01,L-0144,Arbormac Arboriculture,Medium,info@arbormac.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0145,Bawden Tree Care,Medium,info@bawdentreecare.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0146,Arborfield Tree Care,Medium,office@arborfieldtreecare.org,domain,not_found,partial,1,1,0,yes,yes,ok,
2026-07-01,L-0147,Beyond Translation Ltd,High,info@beyondtranslation.co.uk,domain,Rakesh Khambhaita,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0148,Prism Linguistics,High,info@prismlinguistics.co.uk,domain,not_found,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0149,Peak Translations Ltd,Medium,enquiries@peak-translations.co.uk,domain,not_found,verified,2,2,0,yes,yes,ok,
2026-07-01,L-0150,GPC Services Ltd,High,info@gpcservicesltd.co.uk,domain,Gez Coulson,verified,2,2,0,yes,yes,ok,
2026-07-01,L-0151,Kurco Ground Maintenance,High,hello@kurco.co.uk,domain,Neil,verified,1,1,0,yes,yes,ok,
2026-07-01,L-0152,Branching Out Tree & Garden Services Ltd,High,kerrie@branchingoutservices.co.uk,domain,Kerrie,partial,2,2,0,yes,yes,ok,
2026-07-01,L-0153,Tree Technique Ltd,High,info@treetechnique.com,domain,Lee / Russ,verified,2,2,0,yes,yes,ok,
