id,text,type,is_gating,source_page,source_clause,notes
b1,The Tenderer is to provide all works included in the tender documents (the Council does not intend to appoint other contractors except for works outside those identified).,mandatory,no,2,1.4,
b2,"Before submitting a Tender, the Tenderer must read the ITT including the Works description and Contract details and ensure they can comply with all obligations (noting Health & Safety, Equality & Diversity, security, IP, environment and data protection requirements).",mandatory,no,3,2.2.1,
b3,The Tenderer must ensure adequate insurance is in place or can be obtained before tendering.,mandatory,no,3,2.2.2,
b4,"The Tenderer must, before tendering, ascertain the nature of the sites, the extent and nature of the works required, and all local conditions and restrictions likely to affect execution of the works.",mandatory,no,3,2.2.4,
b5,Any request for clarification specific to this Tender must be directed only through clerk@bradwell-pc.gov.uk.,mandatory,no,3,2.4,
b6,The deadline for receipt of clarifications/queries relating to this Tender is 15 August 2025.,mandatory,no,3,2.5,
b7,Any attempt to contact an Officer or Member of the Council by telephone to discuss the Tender will be considered canvassing and lead to removal of that tenderer from any further participation in the procurement process.,mandatory,yes,3,2.6,explicit removal-from-process disqualifier
b8,"All tender documents must be submitted in a sealed envelope/packet/parcel (or online to the Clerk's email) bearing no name, logo or mark indicating the sender.",mandatory,no,4,2.9,
b9,"The tender must be returned by no later than 17:00hrs on Thursday 31 August (2025) to 21 Glovers Lane, Heelands, MK13 7LW.",mandatory,yes,4,2.9,hard submission deadline
b10,"The submission must include all completed supporting documentation: Tenderer contact form; mandatory requirements (H&S Policy, Insurance Certificate, References); Quality Method Statements; Form of Tender; Pricing Schedule; Collusive bidding certificate; Guarantee undertaking; Freedom of Information Disclosure.",mandatory,no,4,2.9,
b11,It is the tenderer's responsibility to ensure tenders are submitted on time ('Proof of Postage' is not 'Proof of Delivery').,mandatory,no,4,2.10,
b12,Any tenderer who cannot guarantee delivery of the Mandatory Requirements and/or the specification will automatically be disqualified from further evaluation.,mandatory,yes,5,3.2,explicit auto-disqualification
b13,"The tenderer must provide two references from clients for whom similar contract works have been satisfactorily completed, with details of the nature and value of the contracts.",mandatory,no,5,3.3.1,mandatory requirement
b14,"The tenderer must hold Public Liability insurance of at least £5,000,000 and Employers Liability insurance of at least £10,000,000.",mandatory,yes,5,3.3.2,hard mandatory insurance minimum thresholds
b15,The tenderer must provide Health and Safety documentation.,mandatory,no,5,3.3.3,mandatory requirement
b16,"Tenderers must supply a Method Statement addressing each quality criterion (A: adequate resourcing; B: appropriate staff qualifications/knowledge/experience; C: approach to and management of Health & Safety), numbered to the criteria.",mandatory,no,5,3.9,
b17,"Any submission scoring 0-2 against any individual quality criterion, or scoring less than half the quality marks (less than 20 out of 40), will not be considered further.",mandatory,yes,6,3.11,explicit elimination threshold
b18,The successful tenderer will be expected to sign and return the contract document (with evidence of insurance cover if appropriate).,mandatory,no,6,3.17,
b19,No variant bids will be accepted; any bid including proposed amendments to the terms and conditions of contract is deemed a variant bid and will not be accepted.,mandatory,yes,6,4.1-4.2,variant bids rejected
b20,"Tenderers should state on the form (appendix c part 8) if any information supplied is confidential/commercially sensitive or should not be disclosed under FOIA, with reasons and duration.",optional,no,6,4.4,'should' — advisory
b21,"A Tender will be rejected if the tenderer fixes/adjusts prices by agreement with others, discloses its prices, agrees with another that they refrain from tendering, offers inducements, commits a Bribery Act 2010 offence, canvasses a Member/official, submits a Tender not in accordance with the Form of Tender, or does not provide all information required by the Council.",mandatory,yes,7,4.6,explicit rejection grounds
b22,"The tenderer is responsible for obtaining all information necessary for its submission and bears all its own costs, expenses and liabilities in preparing and submitting the Tender.",mandatory,no,7,4.7,
b23,"The tenderer is deemed to have carried out all reasonable researches, investigations and enquiries and satisfied itself as to the nature, extent and character of the contract requirements.",mandatory,no,8,4.8,
b24,"All documentation and information issued by the Council relating to the Tender must be treated as private and confidential, used only for the Tender/resulting contract, and not disclosed to any third party without the Council's prior written consent.",mandatory,no,8,4.10,
b25,"The contract documents remain the Council's property, must not be copied or reproduced in whole or part, and must be returned to the Council on demand.",mandatory,no,8,4.11,
b26,"In submitting a Tender the tenderer warrants that it has complied with the ITT and conditions, that all information provided is true/complete/accurate, that it has made its own investigations, that it has full power/authority to enter the contract (producing evidence if requested), and that it is of sound financial standing.",mandatory,no,8,4.12,
b27,"Consideration must be given to all risks associated with the works when planning landscaping maintenance operations, including risks to operatives, the public, council staff and other users.",mandatory,no,9,Appendix A / Safety 1,
b28,Operatives must always wear high-visibility garments in accordance with BSEN 471 Class 1 and PPE appropriate to the task as identified in the contractor's risk assessment and method statement.,mandatory,no,9,Appendix A / Safety 2,
b29,"Within the site boundaries the standard of maintenance shall accord with good horticultural practice, species recommendations, and BS4428:1989 'Code of Practice for General Landscape Operations'.",mandatory,no,9,Appendix A / Standard,
b30,The Contractor shall allow for the removal of all arisings from landscape maintenance operations (but may be asked to leave them on site by the Clerk on a discretionary basis).,mandatory,no,9,Appendix A / Arisings,
b31,"The contractor will be responsible for effective weed control on shrub/flower/rose beds, hedge bottoms and hard surfaces, and must conform to current health and safety legislation and industry best practice (including the relevant Code of Practice).",mandatory,no,9,Appendix A / Weed Control,
b32,The Contractor and his employees shall hold a Certificate of Competence for herbicide application as required by current legislation.,mandatory,no,10,Appendix A / Weed Control 2,
b33,"As part of the Programme of Services the Contractor shall undertake such maintenance as is necessary on trees, and be able to undertake or commission all tree services where requested.",mandatory,no,10,Appendix A / Tree Services,
b34,"Felled trees shall be cut to ground level (so as not to cause a public safety hazard) and crosscut to enable the stump to bio-degrade, unless otherwise directed; where a stump is ground out the land shall be reinstated to its surroundings.",mandatory,no,10,Appendix A / Stump Mgmt,
