id,text,type,is_gating,source_page,source_clause,notes
REQ-001,"Floors and staircases be swept / mopped / vacuumed",Specification,true,Main Doc p.1,"Project Specification, bullet 1",
REQ-002,"Surfaces to be dusted / cleaned / polished",Specification,true,Main Doc p.1,"Project Specification, bullet 2",
REQ-003,"External signs and all internal brass to be polished",Specification,true,Main Doc p.1,"Project Specification, bullet 3",
REQ-004,"Crockery / kitchen ware to be collected & washed",Specification,true,Main Doc p.1,"Project Specification, bullet 4",
REQ-005,"Kitchens to be cleaned & disinfected",Specification,true,Main Doc p.1,"Project Specification, bullet 5",
REQ-006,"Toilet areas to be cleaned & sanitised",Specification,true,Main Doc p.1,"Project Specification, bullet 6",
REQ-007,"Bathroom consumables to be supplied and replenished",Specification,true,Main Doc p.1,"Project Specification, bullet 7",
REQ-008,"Dust high ledges, skirtings and furniture",Specification,true,Main Doc p.1,"Project Specification, bullet 8",
REQ-009,"Waste bins to be emptied and disinfected",Specification,true,Main Doc p.1,"Project Specification, bullet 9",
REQ-010,"Cardboard to be assembled and left for collection by recycling company",Specification,true,Main Doc p.1,"Project Specification, bullet 10",
REQ-011,"Rubbish to be placed in trade waste bags and left for collection on appropriate days",Specification,true,Main Doc p.1,"Project Specification, bullet 11",
REQ-012,"Finger marks to be removed from wall / doors etc",Specification,true,Main Doc p.1,"Project Specification, bullet 12",
REQ-013,"Elevator to be cleaned and polished",Specification,true,Main Doc p.1,"Project Specification, bullet 13",
REQ-014,"Risk assessment and COSHH manuals to be kept up to date & on site",Compliance,true,Main Doc p.1,"Project Specification, bullet 14",
REQ-015,"Quality assurance checks of work done, and records kept",Compliance,true,Main Doc p.1,"Project Specification, bullet 15",
REQ-016,"The Ombudsman is inviting tenders for cleaning services for an initial period of twelve months, with the option to renew annually for a further 2 years",Commercial,true,Main Doc p.2,"Additional Information, para 1",
REQ-017,"Bidders must be aware of and take account of the confidentiality requirements of section 19 of the SPSO Act",Compliance,true,Main Doc p.2,"Additional Information, para 2",Full text at Appendix 2
REQ-018,"A detailed response to the Project Specification detailing the specifics of areas of the office to be cleaned and the frequency of that cleaning",Submission,true,Main Doc p.3,"Tender Submissions, item 1",
REQ-019,"Details of the bidder's experience relating to similar work and proposed personnel to service",Submission,true,Main Doc p.3,"Tender Submissions, item 2",
REQ-020,"A breakdown of costs for the work detailing costs per person per hour and all consumables. (The total cost of the contract including VAT)",Submission,true,Main Doc p.3,"Tender Submissions, item 3",
REQ-021,"Summaries of relevant work carried out for two clients (with contact details), who would be willing to provide the Ombudsman with a reference",Submission,true,Main Doc p.3,"Tender Submissions, item 4",
REQ-022,"Requirement in terms of payment e.g. monthly invoice/payment periods",Submission,true,Main Doc p.3,"Tender Submissions, item 5",
REQ-023,"Before the award of the contract the preferred bidder may be asked to provide a copy of the organisation's professional indemnity or public liability insurance cover. If production of either of the above would cause you difficulty, you should indicate this now.",Submission,true,Main Doc p.3,"Tender Submissions, item 6",
REQ-024,"The standard terms of the contract regarding termination",Submission,true,Main Doc p.3,"Tender Submissions, item 7",
REQ-025,"Prices quoted must be held firm for at least 45 days from the closing date for tenders",Commercial,true,Main Doc p.3,"Tender Conditions, item 3",
REQ-026,"The supplier must be willing for the response to this invitation to tender to form part of the contractual relationship with the Scottish Public Services Ombudsman",Commercial,true,Main Doc p.3,"Tender Conditions, item 4",
REQ-027,"A full response to this tender must be addressed by email to eblows@spso.org.uk or in hard copy or on CD Rom by post… Arrive no later than 12.00 noon 06/11/2013. Your submission must be clearly marked 'Response to Cleaning Tender'",Submission,true,Main Doc p.4,Making a Tender,
REQ-028,"Vacuum entrance floor mat, all hard floors & carpeted areas, paying attention to edges.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-029,"Reception coffee table to be dusted with a damp cloth and polished dry, magazines to be placed neatly.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-030,"Wastepaper bins to be emptied, and bin liner replenished as required – waste to disposal point.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-031,"All clutter free desks (and around items where possible) are to be dusted with a damp microsoft cloth and polished dry – removing coffee stains & finger marks.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-032,"Polish clean glass, smear free, removing finger marks up to 6ft.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
